review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/22,fix,option_type_mismatch,"The stem asks for an age group, but two distractors are not age groups.","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", what age group was the previously well male patient in when he initially presented to the emergency department with severe neck swelling?",in his 40s,in his 30s,in his 20s,in his 50s,in his 60s,(A),in his 40s
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/48,fix,option_type_mismatch,"The stem asks for the type of residue, but several distractors are unrelated findings.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a video fluoroscopic (barium) swallow study was performed after the patient was found to have severe pharyngeal dysphagia. What type of residue did this swallow study show in the pyriform fossae?",mild vallecular residue,trace pyriform fossae residue,severe vallecular residue,moderate pharyngeal residue,severe pyriform fossae residue,(E),severe pyriform fossae residue
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/54,fix,stem_answer_mismatch,"The stem implies a treatment after the 3-day course, but the answer is the 3-day course itself.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", what 3-day treatment at 1000 mg daily did the patient receive for significant airway muscle involvement?",intravenous methylprednisolone treatment,intravenous immunoglobulin therapy,plasmapheresis therapy,intramuscular epinephrine treatment,high-dose oral prednisone treatment,(A),intravenous methylprednisolone treatment
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/58,fix,option_type_mismatch,"The stem asks for a vascular syndrome, but most distractors are not vascular syndromes.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", when the clinicians listed the differential diagnoses for this patient's subacute neck swelling and suspected angioedema, which vascular syndrome was included?",thoracic outlet syndrome,superior vena cava syndrome,subclavian steal syndrome,carotid artery dissection,cavernous sinus thrombosis,(B),superior vena cava syndrome
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/61,fix,option_type_mismatch,"The stem asks for a pulmonary condition, but several distractors are non-pulmonary reasons.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the patient with SAE1 antibody positive dermatomyositis was not started on methotrexate during treatment planning. Which pulmonary condition associated with methotrexate contributed to that decision, in the setting of his abnormal lung function tests?",interstitial lung disease and pulmonary fibrosis,pulmonary embolism and infarction,bronchiectasis and chronic airway infection,pleural effusion and pneumothorax,pulmonary hypertension and right heart strain,(A),interstitial lung disease and pulmonary fibrosis
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/63,fix,formatting,Several duration distractors contain corrupted separator characters.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the patient’s dysphagia persisted after discharge and he required nasogastric tube feeding. For how long was nasogastric tube feeding needed after discharge?",a further 6 weeks,a further 1 month,a further 3 weeks,a further 6 months,a further 2 months,(E),a further 2 months
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/75,fix,option_type_mismatch,"The stem asks which symptoms were denied, but most options are not symptom categories.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", what symptoms did the patient deny on follow-up when his malignancy risk was being reviewed?",respiratory symptoms,gastrointestinal symptoms,neurologic symptoms,constitutional symptoms,urinary symptoms,(D),constitutional symptoms
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/81,fix,option_type_mismatch,"The stem asks for a number of cases, but several distractors are percentages or unrelated findings.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a literature review of articles published from 1985 to 2013 assessed dermatomyositis presenting with oedema. How many such cases were identified in that review?",19 cases of dermatomyositis manifesting with oedema,12 cases of dermatomyositis manifesting with oedema,8 cases of dermatomyositis manifesting with oedema,25 cases of dermatomyositis manifesting with oedema,46 cases of dermatomyositis manifesting with oedema,(A),19 cases of dermatomyositis manifesting with oedema
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/84,fix,option_type_mismatch,"The stem asks for the manifestation described in cases, but the options mix manifestations with comparative statements.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the authors note that dermatomyositis-associated oedema has been reported in several cases with one particular presentation, while neck swelling was less commonly described. What manifestation was described in a number of cases?",neck swelling,throat-region swelling,facial swelling,periungual swelling,laryngeal swelling,(C),facial swelling
medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/2,fix,option_type_mismatch,"The stem asks for a hematologic abnormality, but one distractor is non-hematologic and another is a diagnosis.","In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", a previously healthy woman in her late 40s developed sepsis after a dog bite and initially improved with antibiotics and supportive care. Despite that improvement, what persistent hematologic abnormality did she develop?",persistent anaemia,persistent leukopaenia,persistent neutropaenia,persistent thrombocytopaenia,persistent pancytopaenia,(D),persistent thrombocytopaenia
