review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/QLoRA/256,fix,formatting,Stem has an extraneous leading Q: artifact.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what do the authors show are able to reach full 16-bit finetuning performance?",SwitchBack layers,IA^3 hidden-state scalings,prompt tuning embeddings,P-Tuning v2 prompt encoders,LoRA adapters.,(E),LoRA adapters.
arxiv/QLoRA/258,fix,"formatting,option_type_mismatch",Stem has an extraneous Q: prefix and asks specifically for a rounding type while several options are broader quantization approaches.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", lossy quantization approaches study the trade-offs for which approach?",regular rounding.,mixed-precision quantization.,optimized rounding decisions.,stochastic rounding.,more sophisticated grouping methods.,(A),regular rounding.
arxiv/QLoRA/265,fix,formatting,Stem has an extraneous leading Q: artifact.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", which Parameter Efficient FineTuning (PEFT) method is described as tuning hidden states?",prefix tuning.,IA$^3$.,P-Tuning v2.,BitFit.,LoRA.,(B),IA$^3$.
arxiv/QLoRA/272,fix,option_type_mismatch,"The stem asks specifically for model scales, but two options are benchmark pairs; broadening the stem makes the existing choices align.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", despite evidence that \textsc{QLoRA} can replicate 16-bit full finetuning performance with a 4-bit base model and Low-rank Adapters (LoRA), which pair did the authors identify when saying they had not established that \textsc{QLoRA} can match full 16-bit finetuning performance?",7B and 13B scales.,MMLU and Vicuna benchmarks.,33B and 65B scales.,BigBench and HELM benchmarks.,13B and 30B scales.,(C),33B and 65B scales.
arxiv/QLoRA/279,fix,option_type_mismatch,"The stem asks for a benchmark, but one distractor is a dataset rather than a benchmark.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", on what benchmark can the authors’ best 33B model, trained on the Open Assistant dataset, rival ChatGPT?",Vicuna benchmark,HELM benchmark,Alpaca benchmark,MMLU benchmark,Open Assistant benchmark,(A),Vicuna benchmark
arxiv/QLoRA/282,fix,option_type_mismatch,"The stem asks for a dataset, but one distractor is a benchmark rather than a dataset.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what dataset was the authors’ best 33B model trained on before it was evaluated as rivaling ChatGPT on the Vicuna benchmark?",Self-Instruct dataset,ShareGPT conversation dataset,Vicuna training dataset,Stanford Alpaca dataset,Open Assistant dataset,(E),Open Assistant dataset
arxiv/QLoRA/293,fix,"truncated_stem,stem_answer_mismatch",The stem is truncated after the quoted user question and does not ask for the basis of Guanaco’s response.,"In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when Guanaco explains why it cannot provide the current time in response to the user’s question ""What time is it?"", what are its responses generated based on?",real-time information.,live data from the internet.,my pre-existing knowledge.,external tools and online databases.,the current time from a timekeeping device.,(C),my pre-existing knowledge.
arxiv/fa3/5,fix,option_type_mismatch,"The stem asks specifically for a kind of scaling, but two choices are broader properties rather than scaling types.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what property does computing the self-attention scores of queries and keys have with respect to sequence length, making attention the primary computational bottleneck in the Transformer architecture?",quadratic scaling.,linear scaling.,high memory-bandwidth demands.,cubic scaling.,autoregressive dependence.,(A),quadratic scaling.
arxiv/fa3/8,fix,option_type_mismatch,"The stem asks for application types, while several options are broader domains or systems; broadening the stem fits the option set.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", attention is described as the bottleneck for what?",large language models and long-context applications.,the ubiquitous Transformer architecture and GPU kernels,modern GPUs and low-precision arithmetic,distributed training systems and compiler optimizations,vision transformers and speech-processing applications,(A),large language models and long-context applications.
arxiv/fa3/17,fix,formatting,Stem has an extraneous leading Q: artifact.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what kind of model does the FlashAttention-2 algorithm adhere to in the authors’ discussion of why their new approach differs from it?",an explicitly asynchronous execution model.,a low-precision Tensor Core-centric design.,a conventional data-parallel compute model.,a simplified synchronous model.,a tile-based abstraction using Hopper-specific instructions.,(D),a simplified synchronous model.
arxiv/fa3/26,fix,stem_answer_mismatch,"The stem asks for an effect, but the correct option is the metric that is nearly doubled.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", adapting the forward pass algorithm to target the FP8 Tensor Cores for GEMM nearly doubles what measured quantity?",the throughput of the softmax operations.,the occupancy of the producer and consumer warps.,the effective memory bandwidth.,the measured TFLOPs/s.,the L2 cache hit rate.,(D),the measured TFLOPs/s.
arxiv/fa3/31,fix,formatting,Stem has an extraneous list-marker prompt prefix.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the 2-stage version of the algorithm for hiding softmax under asynchronous block-wise GEMMs, softmax executes on one block of what matrix while WGMMA computes the next block in the asynchronous proxy?",the value matrix.,the query-key projection matrix.,the attention output matrix.,the activation gradient matrix.,the scores matrix.,(E),the scores matrix.
arxiv/fa3/48,fix,formatting,Stem has an extraneous leading Q: artifact.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, what expression is used to compute $\mathbf{dV}$?",\mathbf{P}\mathbf{dO},\alpha\mathbf{dS}^\top\mathbf{Q},\mathbf{P}^\top \mathbf{dO}.,\mathbf{dO}\odot\mathbf{V},\mathbf{dO}\mathbf{V}^\top,(C),\mathbf{P}^\top \mathbf{dO}.
arxiv/fa3/55,fix,formatting,Stem has an extraneous leading Q: artifact.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what dedicated hardware unit does Hopper provide for async memory copy between GMEM and SMEM?",Tensor Memory Accelerator (TMA),Tensor Core copy unit (TCCU),Warpgroup Matrix Multiply-Accumulate (WGMMA),cp.async pipeline,Direct Memory Access (DMA) engine,(A),Tensor Memory Accelerator (TMA)
arxiv/fa3/90,fix,formatting,Stem has an extraneous leading Q: artifact.,"In the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what kind of dependencies do operations within the inner loop (main loop) of the attention algorithm have that impede parallelization within a single iteration?",sequential dependencies.,warp-synchronization dependencies.,cache-coherence dependencies.,inter-warpgroup dependencies.,control-flow dependencies.,(A),sequential dependencies.
arxiv/fa3/111,fix,formatting,Stem has an extraneous leading Q: artifact.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", within the mainloop of the FP16 FlashAttention-3 algorithm, the second WGMMA operation of iteration $j$ is overlapped with what operations from iteration $j+1$?",epilogue rescaling of O_i and computation of L_i.,softmax operations.,layer-normalization and dropout operations.,TMA loads of the next K and V tiles into shared memory.,the first WGMMA operation of iteration j+1.,(B),softmax operations.
arxiv/fa3/112,fix,stem_answer_mismatch,"The stem asks what compiler reordering can disrupt, but the keyed option is the resulting consequence.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what can the compiler’s reordering of instructions in the carefully crafted WGMMA and non-WGMMA operation pipelining sequence potentially lead to?",numerical underflow in the FP16 softmax normalization step,higher HBM bandwidth use from repeatedly materializing attention scores,excessive register spilling and reduced occupancy,unexpected behavior or diminished performance gains,deadlocks in warpgroup synchronization and barrier management,(D),unexpected behavior or diminished performance gains
arxiv/fa3/118,fix,grammar,"The stem has a subject-verb agreement error: ""does the authors say"".","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of the proposed 3-stage pipelining variant that further overlaps the second WGMMA with softmax, what two factors do the authors say become more difficult to balance because the approach requires even more registers due to an additional stage in the pipeline?",occupancy and shared-memory usage,block size and register pressure,tile size and pipeline depth,Tensor Core utilization and softmax overlap,throughput and numerical stability,(C),tile size and pipeline depth
arxiv/fa3/123,fix,formatting,Stem has an extraneous leading Q: artifact.,"In the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors observe that, unlike with FP16, the memory layout of the FP32 accumulator differs from the layout assumed for operand A when held in registers in what kind of operation?",an FP16 WGMMA.,an LDSM/STSM transpose.,a standard GEMM kernel.,the producer warpgroup.,an FP8 WGMMA.,(E),an FP8 WGMMA.
arxiv/fa3/134,fix,stem_answer_mismatch,"The stem asks why, but the correct option is an adjective phrase; asking for the relevant property makes the answer natural.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what property allows the block quantization step to be fused with an operation right before attention, such as rotary embedding, without causing any additional slowdown?",memory-bandwidth bound.,latency-bound.,tensor-core-throughput bound.,compute-bound.,synchronization-bound.,(A),memory-bandwidth bound.
