review_id,domain_group,document,v15_row_index,question_stem,target,correct_label,option_a,option_b,option_c,option_d,option_e,distractors,formatted_question,fact,raw_knowledge_statement,section,v14_cloze_probe,v14_formatted_question,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target,target_changed_for_fix,validation_error,fixed_formatted_question,fixed_formatted_question_5shot,fixed_distractors
arxiv/DPO/144,arxiv,DPO,144,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, how many dialogues does the dataset contain?",170k dialogues.,(C),250k dialogues.,70k dialogues.,170k dialogues.,100k dialogues.,three different open-ended text generation tasks.,"[""70k dialogues."", ""100k dialogues."", ""250k dialogues."", ""three different open-ended text generation tasks.""]","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, how many dialogues does the dataset contain?
(A) 250k dialogues.
(B) 70k dialogues.
(C) 170k dialogues.
(D) 100k dialogues.
(E) three different open-ended text generation tasks.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, the dataset contains 170k dialogues.","A policy must produce an engaging and helpful response $y$ to a user's query; we use the Anthropic Helpful and Harmless dialogue dataset \citep{bai2022training}, containing 170k dialogues between a human and an automated assistant.",Experiments,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, the dataset contains","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, the dataset contains
(A) 250k dialogues.
(B) 70k dialogues.
(C) 170k dialogues.
(D) 100k dialogues.
(E) three different open-ended text generation tasks.",reject,option_type_mismatch,"The stem asks for a number of dialogues, but one option is a task-description phrase; making a clean five-option count question would require inventing a new distractor.",,,,,,,,,,,,,
arxiv/FeatLLM/43,arxiv,FeatLLM,43,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", on how many different tabular datasets do the authors evaluate \textsf{FeatLLM} in low-shot regimes?",13 different tabular datasets.,(D),the OpenML-CC18 benchmark suite.,12 binary tabular datasets.,a range of real-world tabular problems.,13 different tabular datasets.,15 tabular classification benchmarks.,"[""12 binary tabular datasets."", ""15 tabular classification benchmarks."", ""a range of real-world tabular problems."", ""the OpenML-CC18 benchmark suite.""]","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", on how many different tabular datasets do the authors evaluate \textsf{FeatLLM} in low-shot regimes?
(A) the OpenML-CC18 benchmark suite.
(B) 12 binary tabular datasets.
(C) a range of real-world tabular problems.
(D) 13 different tabular datasets.
(E) 15 tabular classification benchmarks.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors evaluate \textsf{FeatLLM} in low-shot regimes on 13 different tabular datasets.","We evaluate \textsf{FeatLLM} on 13 different tabular datasets in low-shot regimes, showing its strong and robust performance.",Introduction,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors evaluate \textsf{FeatLLM} in low-shot regimes on","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors evaluate \textsf{FeatLLM} in low-shot regimes on
(A) the OpenML-CC18 benchmark suite.
(B) 12 binary tabular datasets.
(C) a range of real-world tabular problems.
(D) 13 different tabular datasets.
(E) 15 tabular classification benchmarks.",reject,option_type_mismatch,"The stem asks for a number of datasets, but two options are not counts; a clean five-option count question would require arbitrary new distractors.",,,,,,,,,,,,,
arxiv/GRPO/8,arxiv,GRPO,8,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", how many math tokens does the DeepSeekMath Corpus comprise?",120B math tokens.,(A),120B math tokens.,54B math tokens.,120B Common Crawl web pages.,540B math and science tokens.,OpenWebMath examples and curated negative web pages.,"[""54B math tokens."", ""120B Common Crawl web pages."", ""540B math and science tokens."", ""OpenWebMath examples and curated negative web pages.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", how many math tokens does the DeepSeekMath Corpus comprise?
(A) 120B math tokens.
(B) 54B math tokens.
(C) 120B Common Crawl web pages.
(D) 540B math and science tokens.
(E) OpenWebMath examples and curated negative web pages.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the DeepSeekMath Corpus comprises 120B math tokens.","To achieve this, we create the DeepSeekMath Corpus, a large-scale high-quality pre-training corpus comprising 120B math tokens.",Introduction,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the DeepSeekMath Corpus comprises","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the DeepSeekMath Corpus comprises
(A) 120B math tokens.
(B) 54B math tokens.
(C) 120B Common Crawl web pages.
(D) 540B math and science tokens.
(E) OpenWebMath examples and curated negative web pages.",reject,option_type_mismatch,"The stem asks for a number of math tokens, but distractors include web pages and examples; repairing would require inventing new numeric distractors.",,,,,,,,,,,,,
arxiv/GRPO/103,arxiv,GRPO,103,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, how many mathematical web pages did the authors end up with?",35.5M mathematical web pages.,(D),the top 40B tokens of recalled mathematical web pages.,120B tokens of mathematical web text.,40M mathematical web pages.,35.5M mathematical web pages.,a benchmark-filtered corpus built from GSM8K- and MATH-style data.,"[""120B tokens of mathematical web text."", ""the top 40B tokens of recalled mathematical web pages."", ""40M mathematical web pages."", ""a benchmark-filtered corpus built from GSM8K- and MATH-style data.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, how many mathematical web pages did the authors end up with?
(A) the top 40B tokens of recalled mathematical web pages.
(B) 120B tokens of mathematical web text.
(C) 40M mathematical web pages.
(D) 35.5M mathematical web pages.
(E) a benchmark-filtered corpus built from GSM8K- and MATH-style data.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, the authors ended up with 35.5M mathematical web pages.","After four iterations of data collection, we end up with 35.5M mathematical web pages, totaling 120B tokens.",Math Pre-Training,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, the authors ended up with","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, the authors ended up with
(A) the top 40B tokens of recalled mathematical web pages.
(B) 120B tokens of mathematical web text.
(C) 40M mathematical web pages.
(D) 35.5M mathematical web pages.
(E) a benchmark-filtered corpus built from GSM8K- and MATH-style data.",reject,option_type_mismatch,"The stem asks how many mathematical web pages were collected, but most distractors are token counts or corpus descriptions; clean repair would require arbitrary page-count distractors.",,,,,,,,,,,,,
arxiv/GRPO/126,arxiv,GRPO,126,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", across how many benchmarks in English and Chinese do the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting?",eight benchmarks.,(A),eight benchmarks.,six benchmarks.,GSM8K and MATH.,two benchmarks.,MMLU-STEM and Gaokao-MathQA.,"[""two benchmarks."", ""six benchmarks."", ""MMLU-STEM and Gaokao-MathQA."", ""GSM8K and MATH.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", across how many benchmarks in English and Chinese do the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting?
(A) eight benchmarks.
(B) six benchmarks.
(C) GSM8K and MATH.
(D) two benchmarks.
(E) MMLU-STEM and Gaokao-MathQA.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting across English and Chinese with eight benchmarks.","We evaluate DeepSeekMath-Base's performance of solving mathematical problems using few-shot chain-of-thought prompting \citep{cot}, across eight benchmarks in English and Chinese.",Math Pre-Training,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting across English and Chinese with","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting across English and Chinese with
(A) eight benchmarks.
(B) six benchmarks.
(C) GSM8K and MATH.
(D) two benchmarks.
(E) MMLU-STEM and Gaokao-MathQA.",reject,option_type_mismatch,"The stem asks for a benchmark count, but two distractors are benchmark names rather than counts; clean repair would require arbitrary numeric distractors.",,,,,,,,,,,,,
arxiv/GRPO/144,arxiv,GRPO,144,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in which two languages?",English and Chinese.,(A),English and Chinese.,GSM8K and MATH,algebra and geometry,undergraduate and olympiad mathematics,number theory and calculus,"[""algebra and geometry"", ""GSM8K and MATH"", ""number theory and calculus"", ""undergraduate and olympiad mathematics""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in which two languages?
(A) English and Chinese.
(B) GSM8K and MATH
(C) algebra and geometry
(D) undergraduate and olympiad mathematics
(E) number theory and calculus","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in English and Chinese.","We construct a mathematical instruction-tuning dataset covering English and Chinese problems from different mathematical fields and of varying complexity levels: problems are paired with solutions in chain-of-thought (CoT) \citep{cot}, program-of-thought (PoT) \citep{pot,pal}, and tool-integrated reasoning format \citep{tora}.",Supervised Fine-Tuning,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in
(A) English and Chinese.
(B) GSM8K and MATH
(C) algebra and geometry
(D) undergraduate and olympiad mathematics
(E) number theory and calculus",reject,option_type_mismatch,"The stem asks for two languages, but most distractors are datasets or math fields; clean repair would require arbitrary language-pair distractors.",,,,,,,,,,,,,
arxiv/GRPO/212,arxiv,GRPO,212,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in what parameter range?",7B to 70B range.,(C),13B to 70B range.,7B to 67B range.,7B to 70B range.,chain-of-thought reasoning setting.,English and Chinese benchmarks.,"[""7B to 67B range."", ""13B to 70B range."", ""chain-of-thought reasoning setting."", ""English and Chinese benchmarks.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in what parameter range?
(A) 13B to 70B range.
(B) 7B to 67B range.
(C) 7B to 70B range.
(D) chain-of-thought reasoning setting.
(E) English and Chinese benchmarks.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in the 7B to 70B range.","This performance surpasses that of all open-source models in the 7B to 70B range, as well as the majority of closed-source models.",Reinforcement Learning,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in the","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in the
(A) 13B to 70B range.
(B) 7B to 67B range.
(C) 7B to 70B range.
(D) chain-of-thought reasoning setting.
(E) English and Chinese benchmarks.",reject,option_type_mismatch,"Stem asks for a parameter range, but some options are settings or benchmark groups rather than ranges.",,,,,,,,,,,,,
arxiv/GRPO/247,arxiv,GRPO,247,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", what model does PPO/GRPO use to initialize the policy model before reinforcing it with outputs sampled from the real-time policy model?",the SFT model,(E),human-selected SFT data,the real-time policy model,a neural reward model,the pretrained model,the SFT model,"[""the pretrained model"", ""a neural reward model"", ""the real-time policy model"", ""human-selected SFT data""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", what model does PPO/GRPO use to initialize the policy model before reinforcing it with outputs sampled from the real-time policy model?
(A) human-selected SFT data
(B) the real-time policy model
(C) a neural reward model
(D) the pretrained model
(E) the SFT model","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", PPO/GRPO initialize the policy model before reinforcing it with outputs sampled from the real-time policy model using the SFT model",\item \textbf{PPO/GRPO}: PPO/GRPO initializes the policy model using the SFT model and reinforces it with the outputs sampled from the real-time policy model.,Discussion,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", PPO/GRPO initialize the policy model before reinforcing it with outputs sampled from the real-time policy model using","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", PPO/GRPO initialize the policy model before reinforcing it with outputs sampled from the real-time policy model using
(A) human-selected SFT data
(B) the real-time policy model
(C) a neural reward model
(D) the pretrained model
(E) the SFT model",reject,option_type_mismatch,"Stem asks for a model, but one option is a data source rather than a model.",,,,,,,,,,,,,
arxiv/GRPO/254,arxiv,GRPO,254,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the experiments exploring iterative RL, how many rounds of iteration do the authors conduct?",two rounds.,(E),both online and offline sampling.,three rounds of iteration.,experiments on two benchmarks.,one round of iteration.,two rounds.,"[""one round of iteration."", ""three rounds of iteration."", ""experiments on two benchmarks."", ""both online and offline sampling.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the experiments exploring iterative RL, how many rounds of iteration do the authors conduct?
(A) both online and offline sampling.
(B) three rounds of iteration.
(C) experiments on two benchmarks.
(D) one round of iteration.
(E) two rounds.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the iterative RL experiments, the authors conduct two rounds.","Furthermore, we explore the iterative RL, in our experiments, we conduct two rounds of iteration.",Discussion,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the iterative RL experiments, the authors conduct","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the iterative RL experiments, the authors conduct
(A) both online and offline sampling.
(B) three rounds of iteration.
(C) experiments on two benchmarks.
(D) one round of iteration.
(E) two rounds.",reject,option_type_mismatch,"Stem asks how many rounds were conducted, but some options are not counts or round counts.",,,,,,,,,,,,,
arxiv/GRPO/275,arxiv,GRPO,275,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in what kind of tasks is it especially impossible to ensure that the reward signal is always reliable?",extremely complex tasks.,(B),sparse-reward environments.,extremely complex tasks.,open-ended dialogue tasks.,advanced decoding outputs.,out-of-distribution question prompts.,"[""out-of-distribution question prompts."", ""advanced decoding outputs."", ""sparse-reward environments."", ""open-ended dialogue tasks.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in what kind of tasks is it especially impossible to ensure that the reward signal is always reliable?
(A) sparse-reward environments.
(B) extremely complex tasks.
(C) open-ended dialogue tasks.
(D) advanced decoding outputs.
(E) out-of-distribution question prompts.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", it is especially impossible to ensure that the reward signal is always reliable in extremely complex tasks.","However, it is impossible to ensure the reward signal is always reliable, especially in extremely complex tasks.",Discussion,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", it is especially impossible to ensure that the reward signal is always reliable in","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", it is especially impossible to ensure that the reward signal is always reliable in
(A) sparse-reward environments.
(B) extremely complex tasks.
(C) open-ended dialogue tasks.
(D) advanced decoding outputs.
(E) out-of-distribution question prompts.",reject,option_type_mismatch,"Stem asks for a kind of task, but some options are techniques or prompt sources rather than task types.",,,,,,,,,,,,,
