domain_group,document,accept,fix,reject,reviewed_rows
arxiv,1_58,89,8,0,97
arxiv,BOFT,179,18,0,197
arxiv,ByteLatent,328,40,0,368
arxiv,DPO,202,22,1,225
arxiv,FeatLLM,188,13,1,202
arxiv,GRPO,291,12,9,312
arxiv,GSPO,101,10,3,114
arxiv,LongRoPE,195,26,5,226
arxiv,OFT,236,25,0,261
arxiv,QLoRA,261,27,5,293
arxiv,fa3,176,18,0,194
arxiv,xLSTM,137,16,1,154
legal,America_First_Legal_Foundation_v_Jamieson_Greer,37,2,0,39
legal,Apex_Bank_v_Cc_Serve_Corp,43,3,0,46
legal,Bruce_Cohen_v_Consilio_LLC,36,4,0,40
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,48,3,0,51
legal,Foad_Farahi_v_FBI,51,1,0,52
legal,Jimenez_v_Bondi,85,5,0,90
legal,Pacito_v_Trump,29,2,0,31
legal,Santos_v_Kimmel,23,4,0,27
legal,United_States_v_Constantinescu,26,2,0,28
legal,United_States_v_Jaison_Coleman,40,3,0,43
legal,United_States_v_Justin_Cutbank,38,3,0,41
legal,Williams_v_GoAuto_Insurance,32,7,0,39
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,69,13,0,82
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,51,17,0,68
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,79,12,0,91
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,74,9,0,83
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,75,18,0,93
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,0,55,0,55
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,73,7,0,80
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,74,12,0,86
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,87,15,0,102
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,73,5,0,78
medical,Pancreatopleural_fistula_in_childhood,88,14,0,102
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,87,9,0,96
