review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/33,fix,option_type_mismatch,"The stem asks specifically for a type of vascularisation, but several distractors are non-vascular ultrasound features.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", ultrasound imaging was performed after the patient presented at 21 weeks of gestation with abdominal pain and mild dyspnoea. The scan showed two large, unilocular cystic masses with regular margins. Which additional ultrasound feature was described?",peripheral vascularisation,thin internal septations,central vascularisation,mural nodularity,heterogeneous echogenicity,(A),peripheral vascularisation
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/36,fix,formatting,The correct dimension contains an unnatural internal space in the measurement.,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", ultrasound imaging in the second trimester showed two large masses. What were the dimensions of the lower mass on ultrasound imaging?",5.8×7.1 cm,18×12×7 cm,9.5×8×7 cm,8.5×8×8 cm,9.5×8×8 cm,(E),9.5×8×8 cm
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/45,fix,stem_answer_mismatch;grammar,"The stem asks for a type of dysfunction, but the correct option is a full clause beginning with ""without evidence"".","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient developed dyspnoea during the second trimester, and it was attributed to mechanical compression from the massive abdominal lesions. What did the evaluation find no evidence of?",pulmonary or cardiac dysfunction,maternal heart failure,pulmonary embolism,an endometrioma-related cause,normal gestational dyspnoea,(A),pulmonary or cardiac dysfunction
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/46,fix,formatting;stem_answer_mismatch,"Several options contain control-character artifacts, and the choices include timing even though the stem asks for the procedure.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", what procedure did the patient undergo at 21 weeks plus 6 days of gestation after her abdominal pain and dyspnoea worsened and there was concern for complications such as rupture, torsion, and infection?",ultrasound-guided percutaneous aspiration of the abdominal masses,exploratory laparotomy through a transverse suprapubic Pfannenstiel incision,laparotomy with a longitudinal xiphos-pubic incision,laparoscopic right salpingo-oophorectomy for presumed adnexal torsion,diagnostic laparoscopy with cyst decompression and biopsy,(C),laparotomy with a longitudinal xiphos-pubic incision
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/48,fix,formatting;stem_answer_mismatch,"Several options contain control-character artifacts and extra context, although the stem asks only for gestational age.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the pregnant patient underwent laparotomy with a longitudinal xiphos-pubic cut because her abdominal pain and restrictive dyspnoea were worsening and surgery was needed for a conclusive diagnosis. At what gestational age was this laparotomy performed?",18 w+6 d,21 w+6 d,20 w+6 d,22 w+6 d,24 w+0 d,(B),21 w+6 d
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/59,fix,option_type_mismatch,"The stem asks for a haemoglobin level, but two distractors are not haemoglobin levels.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the patient’s surgery for the abdominal masses, her worsening anaemia was treated with intravenous ferric carboxymaltose and two blood transfusions. What haemoglobin level was achieved after this treatment?",Hb 11.0 g/L,Hb 7.5 g/L,Hb 9.0 g/L,Hb 10.5 g/L,Hb 10.0 g/L,(E),Hb 10.0 g/L
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/64,fix,option_type_mismatch,One distractor is a fetal growth percentile rather than a gestational age.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient later underwent an elective caesarean delivery on the same surgical scar after the pregnancy was closely followed. At what gestational age was this elective caesarean performed?",37 weeks of gestation,39 weeks of gestation,35 weeks of gestation,38 weeks of gestation,36 weeks of gestation,(A),37 weeks of gestation
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/1,fix,formatting,The correct answer includes a trailing citation-like number that is not part of the disorder name.,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", germline pathogenic variants in PARN have been linked to dyskeratosis congenita, autosomal recessive 6 (DKCB6). Besides DKCB6, what other disorder has been associated with these PARN variants?",telomere-related hepatic fibrosis and/or pancytopenia,Hoyeraal-Hreidarsson syndrome and/or Revesz syndrome,Fanconi anaemia and/or marrow failure,autosomal dominant dyskeratosis congenita and/or aplastic anaemia,telomere-related pulmonary fibrosis and/or bone marrow failure,(E),telomere-related pulmonary fibrosis and/or bone marrow failure
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/27,fix,stem_answer_mismatch,"The stem asks for an abbreviation, but the option set gives diagnoses rather than abbreviations.","In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", what diagnosis was supported by the clinical-genetic correlation?",severe vitamin B12 deficiency-related pancytopenia with secondary fibrosis,myelodysplastic syndrome causing multisystem disease,idiopathic pulmonary fibrosis with coincidental bone marrow failure,a telomere biology disorder (TBD),dyskeratosis congenita based on classical mucocutaneous features,(D),a telomere biology disorder (TBD)
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/35,fix,option_type_mismatch,"The stem asks for a type of dyspnoea, but several distractors are not dyspnoea types.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the woman in her late 20s reported several symptoms during her presentation, including chest discomfort, weight loss, and anorexia. Which additional symptom did she report?",frank haemoptysis,exertional dyspnoea,visible jaundice,persistent cough,resting dyspnoea,(B),exertional dyspnoea
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/57,fix,stem_answer_mismatch;option_type_mismatch,"The stem asks what type of residue was altered, but most options are broader mechanistic claims rather than residue types.","In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", how was the monoallelic PARN missense variant (c.613T>C; p.Cys205Arg) characterized?",as affecting mitochondrial respiratory chain assembly and causing neuropathy,as altering a highly conserved residue and being predicted to damage protein function,as a canonical splice-site variant predicted to cause exon 8 skipping,as altering calcium-sensing signalling and causing the electrolyte findings,as altering a weakly conserved residue and being predicted to be tolerated,(B),as altering a highly conserved residue and being predicted to damage protein function
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/62,fix,stem_answer_mismatch;grammar,"The stem asks for a classical triad, but the correct option is an ungrammatical clause rather than the feature set itself.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", what classic dyskeratosis congenita feature set may be absent despite marrow failure, organ fibrosis, and features of accelerated ageing?",autoimmune or infectious explanations for hepatic fibrosis,a positive family history of hereditary syndrome,the classical mucocutaneous triad of dyskeratosis congenita,Fanconi anaemia-like congenital anomalies,haemolysis with positive autoimmune serologies,(C),the classical mucocutaneous triad of dyskeratosis congenita
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/67,fix,grammar;stem_answer_mismatch,The correct option repeats the verb from the stem instead of naturally answering what telomeres preserve.,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the discussion notes that telomeres are repetitive DNA sequences capping chromosome ends. By shielding chromosomes from degradation, what do telomeres preserve?",telomerase activity in differentiated somatic cells,DNA repair protein expression at fragile sites,homologous chromosome pairing during meiosis,genomic integrity,origin-of-replication activity at chromosome ends,(D),genomic integrity
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/68,fix,stem_answer_mismatch,"The stem asks for the process besides apoptosis, but the correct option includes apoptosis too.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the discussion explains that with each cell division, telomeres shorten until they reach a critical length. What cellular processes are triggered at that point?",telomerase activation or telomere elongation,DNA repair or checkpoint recovery,cellular senescence or apoptosis,autophagy or necroptosis,fibroblast activation or extracellular matrix deposition,(C),cellular senescence or apoptosis
