review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/0","fix","option_type_mismatch","The stem asks specifically for an oral mucosal lesion, but most options are broader mucocutaneous findings rather than oral lesions.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", which mucocutaneous finding was noted in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia?","oral aphthae.","erythema nodosum.","folliculitis-like rashes.","oral candidiasis.","genital ulcers.","(A)","oral aphthae."
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/2","fix","option_type_mismatch","The stem asks for an electrolyte abnormality, but most options are not electrolyte abnormalities.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers. What additional finding was present at presentation?","uveitis.","hypernatraemia.","cerebral venous sinus thrombosis.","hyponatraemia.","central diabetes insipidus.","(D)","hyponatraemia."
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/19","fix","option_type_mismatch","The stem asks for a type of deficit, but several options are not deficits.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", acute neuro-BD most commonly presents as a self-limiting meningoencephalitis. What manifestation may accompany this presentation?","mucocutaneous lesions.","peripheral neuropathy.","hyponatraemia.","hypothalamic MRI abnormalities.","focal neurological deficits.","(E)","focal neurological deficits."
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/23","fix","unclear_reference","The stem uses ""these manifestations"" without naming the manifestations, making the question hard to interpret as a standalone item.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", persistent hiccups and rhabdomyolysis are described as known, yet often underappreciated clinical implications of what condition?","brainstem inflammation secondary to meningitis","acute neurological Behçet's disease itself","profound hypokalaemia","syndrome of inappropriate antidiuretic hormone secretion","profound hyponatraemia.","(E)","profound hyponatraemia."
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/29","fix","grammar","The phrase ""what nature of"" is unnatural in the stem.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", what aspect of acute neuro-Behçet’s disease may place affected patients at risk for developing SIADH?","the typically delayed onset of neuro-BD","the inflammatory nature of acute neuro-BD","cyclophosphamide-related pharmacological triggers","an underlying central nervous system malignancy","the common brainstem localization of parenchymal lesions","(B)","the inflammatory nature of acute neuro-BD"
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/30","fix","stem_answer_mismatch","The stem asks what should be assessed in addition to neurological symptoms, but the correct option includes those same neurological symptoms.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, what features should clinicians carefully assess?","mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits.","infectious and autoimmune differentials, including fever, meningism, cerebrospinal fluid pleocytosis and positive autoantibodies.","vascular and cardiopulmonary complications, including deep-vein thrombosis, pulmonary artery aneurysms, chest pain and dyspnoea.","ocular and cutaneous manifestations, including uveitis, erythema nodosum, papulopustular lesions and genital ulceration.","electrolyte and endocrine disturbances, including hyponatraemia, concentrated urine, low serum osmolality and other features of SIADH.","(A)","mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits."
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/34","fix","grammar","The possessive phrase ""the man in his 60s' medical history"" is awkward.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", what chronic medical condition was listed in the medical history of the man in his 60s?","Behçet's disease","type 2 diabetes mellitus","essential hypertension","type 1 diabetes mellitus","chronic obstructive pulmonary disease","(B)","type 2 diabetes mellitus"
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/50","fix","stem_answer_mismatch","The stem asks which DNA testing was negative, but the correct option includes both staining and DNA testing.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", which findings helped exclude tuberculous meningitis after the patient's cerebrospinal fluid workup?","CSF cultures were negative and there was only mild lymphocytic pleocytosis without neutrophilic predominance.","HSV and VZV antigen and antibody assays in the CSF were negative.","acid-fast staining and tuberculosis DNA testing were negative.","oligoclonal band testing and aquaporin-4 antibody assays were negative.","brain MRI showed no abnormal findings and CSF cytology did not reveal malignant cells.","(C)","acid-fast staining and tuberculosis DNA testing were negative."
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/52","fix","stem_answer_mismatch","The stem asks for a finding in addition to negative autoantibody tests, but the correct option repeats those negative tests.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, what findings contributed to excluding autoimmune diseases?","negative paraneoplastic neuronal antibody testing and no evidence of an occult solid tumour","negative acid-fast staining and tuberculosis DNA testing results in the cerebrospinal fluid","mild lymphocytic pleocytosis without neutrophilic predominance and negative cerebrospinal fluid cultures","normal brain MRI findings and the absence of malignant cells on cerebrospinal fluid cytology","absence of characteristic systemic symptoms and negative screening autoantibody test results","(E)","absence of characteristic systemic symptoms and negative screening autoantibody test results"
"medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/60","fix","grammar","The wording ""after tests ruled out which condition was the acyclovir discontinued for"" is awkward.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 3 of admission when the patient’s headache and vertigo worsened and acyclovir was started empirically, which condition was ruled out before acyclovir was discontinued?","acute neuro-Behçet's disease","bacterial meningoencephalitis","autoimmune limbic encephalitis","HSV and VZV encephalitis","CMV and EBV encephalitis","(D)","HSV and VZV encephalitis"
