review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
legal/Jimenez_v_Bondi/41,fix,"answer_type_mismatch,option_type_mismatch","The stem asks for a group, but the keyed option is a full statement and the distractors are not all groups.","According to the opinion in ""Jimenez v. Bondi"", after Wilson Leonardo Canon Jimenez told a police patrol officer about what had happened to his son, what did the officer say about police officers?",police officers were contributing to the problem.,police officers were already investigating the problem.,police officers were unable to identify the men involved.,police officers were protecting the family from the problem.,police officers were not connected to the problem.,(A),police officers were contributing to the problem.
legal/Jimenez_v_Bondi/67,fix,formatting,"The stem contains a stray non-English word, making the question unnatural.","According to the opinion in ""Jimenez v. Bondi"", Petitioners argued that the nexus requirement was satisfied because they were persecuted by a specific person for their political opinion. By whom did they allege they were persecuted?",Don Rafa,MS-13 members,local gang members,government officials,their political opponents,(A),Don Rafa
legal/Jimenez_v_Bondi/71,fix,"grammar,stem_answer_mismatch","The stem phrase ""cannot be relative to"" is awkward, and the keyed option repeats the negative legal standard rather than naturally answering.","According to the opinion in ""Jimenez v. Bondi"", in explaining the nexus requirement, how did the court say Petitioners' political opinion could not relate to another reason for harm?",be the sole reason for the persecution,play only a minor role in the mistreatment,"be incidental, tangential, superficial, or subordinate to another reason for harm",be established as a matter of law by campaign work,be linked to membership in a particular social group,(C),"be incidental, tangential, superficial, or subordinate to another reason for harm"
legal/Jimenez_v_Bondi/89,fix,answer_type_mismatch,"The stem asks for the kind of failures, but the keyed option includes an entire source clause.","According to the opinion in ""Jimenez v. Bondi"", when discussing whether a government is ""unwilling or unable"" to protect its people, what kind of failures do courts often require evidence of?","systemic, rather than individual, failures",formal government approval of the persecutors' conduct,a well-founded fear tied to a protected ground,"isolated, rather than systemic, failures",state action under color of law by private actors,(A),"systemic, rather than individual, failures"
legal/Pacito_v_Trump/24,fix,stem_answer_mismatch,"The stem asks what the stay applicant must be likely to do, but the keyed option is a showing rather than an action.","According to the opinion in ""Pacito v. Trump,"" the court applied the four-factor test for issuing a stay pending appeal under Nken v. Holder. Under the first factor, what showing must the stay applicant make?",a showing that he will be irreparably injured absent a stay,a showing that the balance of equities tips in his favor,a strong showing that he is likely to succeed on the merits,a showing that issuing the stay will not substantially injure other parties,a showing that the public interest favors a stay,(C),a strong showing that he is likely to succeed on the merits
legal/Pacito_v_Trump/28,fix,"stem_answer_mismatch,answer_type_mismatch","The stem asks ""what interests"" but the keyed option is a clause describing the stay factors.","According to the opinion in ""Pacito v. Trump,"" when applying the stay factors under Nken v. Holder in the appeal over Executive Order No. 14163, how did the court describe the remaining factors?",as touching upon both domestic and foreign interests of the United States,as calling for a searching inquiry into the persuasiveness of the President’s justifications,as implicating separation-of-powers principles rather than foreign-affairs considerations,as committed to the President’s broad discretion over the admission of noncitizens,as concerned primarily with the private injuries alleged by the individual plaintiffs,(A),as touching upon both domestic and foreign interests of the United States
legal/Santos_v_Kimmel/6,fix,formatting,The segment title in the stem is missing its closing quotation mark.,"According to the opinion in ""George Santos v. James C. Kimmel"", after Santos fulfilled each Cameo request, on what show did Kimmel air the videos as part of the mocking segment series ""Will Santos Say It?""",Cameo,The Late Show with Stephen Colbert,Saturday Night Live,Jimmy Kimmel Live!,The Tonight Show Starring Jimmy Fallon,(D),Jimmy Kimmel Live!
legal/Santos_v_Kimmel/21,fix,"stem_answer_mismatch,answer_type_mismatch","The stem and options both use ""not,"" creating an unnatural double-negative answer.","According to the opinion in ""George Santos v. James C. Kimmel,"" in the court’s discussion of whether the videos were transformative for fair-use purposes, what did the court say a reasonable observer would think the videos did not convey?",an implied endorsement of Kimmel’s late-night program,a critique of Kimmel’s false representations and alleged bad faith,a parody of inspirational messaging for comedic effect,a willingness to say absurd things for money,commentary on Santos’s original purpose in making the videos,(D),a willingness to say absurd things for money
legal/Santos_v_Kimmel/29,fix,"answer_type_mismatch,option_type_mismatch","The stem asks which fair-use factor, but most options are full legal conclusions rather than factors.","According to the opinion in ""George Santos v. James C. Kimmel"", in this copyright action the court considered the fair-use defense under the Copyright Act. Which aspect of the fair-use analysis did the court agree strongly supports a finding of fair use?",the fourth factor’s market-effect analysis,the second factor’s nature-of-the-work analysis,the first factor’s purpose-and-character analysis,the third factor’s amount-used analysis,Santos’s bad-faith argument,(C),the first factor’s purpose-and-character analysis
legal/Santos_v_Kimmel/31,fix,formatting,"The stem says ""York law"" instead of ""New York law.""","According to the opinion in ""George Santos v. James C. Kimmel"", the court is addressing Santos’s state-law implied-in-fact contract claim under New York law. What do courts consider to determine whether such a contract was formed and, if so, the extent of its terms?",the reasonable expectations of noncontracting parties and broader consumer-protection policy concerns.,"offer, acceptance, and consideration as established by formal written manifestations of assent.",the plain language of the Terms of Service and any explicit third-party beneficiary provisions.,the existence of an express declaration extending the agreement’s provisions to third parties.,the intent of the parties and the surrounding circumstances.,(E),the intent of the parties and the surrounding circumstances.
