review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/GSPO/108,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Group Sequence Policy Optimization"", by directly using the likelihoods returned by the inference engine for optimization, GSPO avoids the need to recompute them with what?",a Routing Replay pass.,the reference model.,the reward model.,the training engine.,the inference engine itself.,(D),the training engine.
arxiv/GSPO/110,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Group Sequence Policy Optimization"", following the basic principle of importance sampling, GSPO defines importance ratios based on what?",sequence likelihood.,sequence-level rewards.,token likelihood.,group-relative advantages.,policy logits.,(A),sequence likelihood.
arxiv/LongRoPE/7,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what other resource, besides training hours, is required in prohibitively extensive amounts when training on extra-long texts?",high-quality long-text data,CPU memory,network bandwidth,attention cache storage,GPU resources.,(E),GPU resources.
arxiv/LongRoPE/15,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", into how many frequency-based groups does YaRN categorize RoPE dimensions when it applies extrapolation, NTK, and linear interpolations, respectively?",two,four,five,three,eight,(D),three
arxiv/LongRoPE/28,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", across what evaluation length range do the authors report that LongRoPE maintains low perplexity?",8k to 2048k.,8k to 256k.,4k to 256k.,4k to 2048k.,2k to 128k.,(D),4k to 2048k.
arxiv/LongRoPE/50,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", which method is described as introducing a significant improvement to positional interpolation performance?",improved dynamic NTK,YaRN.,ALiBi,positional interpolation (PI),NTK-based interpolation and extrapolation,(B),YaRN.
arxiv/LongRoPE/53,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing the non-linearity gains of NTK and YaRN for specialized interpolation and extrapolation, different frequencies are considered across what?",transformer layers,token positions,attention heads,context-window segments,RoPE dimensions,(E),RoPE dimensions
arxiv/LongRoPE/55,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what metric is used to guide the evolution search for discovering better non-uniform positional interpolations for LLaMA2-7B using 5 random samples from the PG19 validation set?",perplexity.,passkey retrieval accuracy.,next-token prediction accuracy.,BLEU score.,cross-entropy loss.,(A),perplexity.
arxiv/LongRoPE/63,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does YaRN’s grouping of RoPE dimensions currently depend on?",fine-tuning on extended-context corpora.,the current sequence length at each position.,fixed frequency thresholds derived from the base model architecture.,human-led empirical experiments.,gradient-based hyperparameter optimization during pretraining.,(D),human-led empirical experiments.
arxiv/LongRoPE/67,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what does the key of YaRN lie in, given that YaRN divides RoPE dimensions into three frequency-based groups with different interpolation strategies and currently depends on human-led empirical experiments?",linear interpolation of low-frequency dimensions.,context-window extension without fine-tuning.,adaptive adjustment of the extension ratio at each position.,non-uniform interpolation over token positions.,grouping of RoPE dimensions.,(E),grouping of RoPE dimensions.
arxiv/LongRoPE/174,fix,formatting,"Stem has an extraneous leading ""Q:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", during the extra evolution search on the extended LLM for short context lengths such as 4k and 8k, the authors reduce the maximum allowed searched $\lambda$ because less what is required?",NTK-aware scaling,RoPE rescaling,context window expansion,positional interpolation,sequence truncation,(D),positional interpolation
arxiv/LongRoPE/79,fix,formatting,"Stem has an extraneous leading ""- Question:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the description of using $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$ to rescale the rotation angle for the $i^{th}$ RoPE dimension, what does $\hat{n}$ denote?",sequence length upper bound.,token position threshold.,position interpolation coefficient.,rotary frequency base.,dimension-specific rescale factor.,(B),token position threshold.
arxiv/LongRoPE/171,fix,formatting,"Stem has an extraneous leading ""- Question:"" artifact.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many A100 GPUs are required to train the 256k context size, given that the 128k context size is trained on 8 A100 GPUs with the distributed training system~\cite{cube}?",16 H100 GPUs.,8 A100 GPUs.,32 A100 GPUs.,16 A100 GPUs.,16 V100 GPUs.,(D),16 A100 GPUs.
arxiv/GSPO/121,fix,option_type_mismatch,"Stem asks specifically for frameworks, but several options are broader settings rather than frameworks; broadening the stem makes the option set natural.","According to the paper ""Group Sequence Policy Optimization"", in what kind of setting can GSPO's direct use of the likelihoods returned by the inference engine for optimization be especially beneficial?",offline reinforcement learning evaluation workflows,training-inference disaggregated frameworks.,training pipelines that depend on Routing Replay,mixture-of-experts models with expert-activation volatility,fully synchronous single-engine RLHF systems,(B),training-inference disaggregated frameworks.
arxiv/LongRoPE/3,reject,option_type_mismatch,"Stem asks which models were used, but one distractor is a pair of sequence lengths rather than model names; clean repair would require inventing a model-pair distractor.",,,,,,,,
arxiv/LongRoPE/58,reject,option_type_mismatch,"Stem asks for tokens in the input sequence, but distractors include embedding dimensions or components rather than token subsets; clean repair would require inventing token-subset distractors.",,,,,,,,
arxiv/LongRoPE/60,reject,option_type_mismatch,"Stem asks which tokens should receive less interpolation, but several options are not token subsets; clean repair would require inventing token-subset distractors.",,,,,,,,
arxiv/LongRoPE/69,fix,option_type_mismatch,"Stem asks for a kind of position interpolation, but several options are broader approaches; broadening the stem makes the options parallel enough.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what approach did the authors find significantly improves extension performance at 8k and 16k without fine-tuning?",fixed uniform position interpolation with no retained starting tokens,sliding-window sparse attention with KV-cache compression,searched non-uniform position interpolation.,fine-tuning LLaMA2-7B with the searched RoPE for a 64k context window,NTK-aware scaled position interpolation with a constant scaling factor,(C),searched non-uniform position interpolation.
arxiv/LongRoPE/103,reject,option_type_mismatch,"Stem asks for a number of fine-tuning steps, but several options are training lengths or adaptation methods; clean repair would require arbitrary step-count distractors.",,,,,,,,
