review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/QLoRA/2,fix,formatting,The stem has an extraneous leading question label or bullet.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what percentage of ChatGPT's performance level does the authors' best model family, Guanaco, reach on the Vicuna benchmark?",98.7\%,93.9\%,99.3\%,100.0\%,24.0\%,(C),99.3\%
arxiv/QLoRA/4,reject,option_type_mismatch,"The stem asks how many instruction datasets, but multiple choices are dataset or benchmark names rather than counts.",,,,,,,,
arxiv/QLoRA/23,fix,formatting,The stem has an extraneous leading question label or bullet.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", why would the model scales used in the authors’ in-depth study of instruction finetuning and chatbot performance be impossible to use with regular finetuning?",long sequence length requirements.,computational cost.,gradient checkpointing memory spikes.,memory overhead.,optimization instability.,(D),memory overhead.
arxiv/QLoRA/27,fix,formatting,The stem has an extraneous leading question label or bullet.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", approximately how many models do the authors train across several instruction tuning datasets, model architectures, and sizes between 80M and 65B parameters?","more than 1,000.",roughly 450.,"around 9,000.","more than 10,000.",about 100.,(A),"more than 1,000."
arxiv/QLoRA/64,fix,formatting,The stem has an extraneous leading question label or bullet.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", which technique is highlighted as important for managing memory during training in the discussion comparing input gradients, LoRA parameters, and the 4-bit base model memory footprint?",mixed-precision training.,aggressively reducing the amount of LoRA parameters.,gradient checkpointing.,using more adapters to improve performance.,optimizer state sharding.,(C),gradient checkpointing.
arxiv/QLoRA/84,fix,"option_type_mismatch,stem_answer_mismatch","The stem asks ""how many,"" but several choices are not counts; asking what step (1) estimates makes the existing choices type-compatible.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when constructing the information theoretically optimal data type for zero-mean normal distributions with arbitrary standard deviations $\sigma$ in the range $[-1, 1]$, what is estimated in step (1) to obtain the $k$-bit quantile quantization data type?",the absolute maximum rescaling constant.,the zero-point and scale parameters of an affine uniform quantizer.,$2^k$ values $q_i$ of the data type.,the empirical quantiles of the input tensor.,$2^k+1$ quantiles.,(E),$2^k+1$ quantiles.
arxiv/QLoRA/90,fix,formatting,The stem has an extraneous leading question label or bullet.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", how are the $2^k$ values $q_i$ of the data type estimated using the quantile function $Q_X(\cdot)$ of the standard normal distribution $N(0,1)$?",\frac{1}{2}\left( Q_X\left(\frac{i}{2^k+1}\right) + Q_X\left(\frac{i+1}{2^k+1}\right)\right),\frac{1}{2}\left( Q_X\left(\frac{i}{2^k}\right) + Q_X\left(\frac{i+1}{2^k}\right)\right),Q_X\left(\frac{i+1/2}{2^k}\right),Q_X\left(\frac{i}{2^k+1}\right),\frac{1}{2}\left( Q_X\left(\frac{i}{2^{k-1}}\right) + Q_X\left(\frac{i+1}{2^{k-1}+1}\right)\right),(A),\frac{1}{2}\left( Q_X\left(\frac{i}{2^k+1}\right) + Q_X\left(\frac{i+1}{2^k+1}\right)\right)
arxiv/QLoRA/105,fix,formatting,The stem has an extraneous leading question label or bullet.,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what is the computation data type used by \textsc{QLoRA}?",8-bit floating point,16-bit IEEE half precision,32-bit floating point,4-bit NormalFloat,16-bit BrainFloat.,(E),16-bit BrainFloat.
arxiv/QLoRA/119,reject,option_type_mismatch,"The stem asks for a learning-rate range, but one choice is a batch-size range and cannot be repaired cleanly from context.",,,,,,,,
arxiv/QLoRA/125,fix,"formatting,stem_answer_mismatch","The stem has an extraneous leading label and asks for a benchmark, but the correct answer is a set of tasks.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the evaluation setup adapted from \citet{dettmers2022case}, quantized LLMs of different sizes and data types are evaluated on language modeling and what other set of tasks?",a set of zero-shot tasks,a suite of few-shot tasks,comparisons with full 16-bit finetuning,supervised downstream classification tasks,Alpaca instruction-tuning benchmarks,(A),a set of zero-shot tasks
