review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/ByteLatent/251,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what score does the authors' model achieve on both spelling tasks in the character manipulation benchmark?",25.0%,99.9%,98.9%,95.0%,100.0%,(B),99.9%
arxiv/ByteLatent/260,fix,"option_type_mismatch,formatting","The stem asks for an amount of training data, but several options are not quantities.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", how much less training data than Llama 3.1 had BLT been trained on when the authors note that its large improvements indicate character-level information is hard to learn for BPE models?",16x less data.,4x less data.,the same amount of data.,2x less data.,8x less data.,(A),16x less data.
arxiv/ByteLatent/265,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the entropy model hyper-parameter ablation studying scaling performance, over what range of context window lengths do the authors train the byte-level entropy transformer models?",from 256 to 2048.,from 32 to 256.,from 64 to 512.,from 4 to 6.,from 128 to 1024.,(C),from 64 to 512.
arxiv/ByteLatent/285,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the n-gram hash embedding ablation study, the authors report that hash embeddings help particularly on Wikipedia and Github with a 0.04 bpb difference. What smaller bpb difference at 15k steps and 8B scale is this compared against?",0.03 bpb.,0.02 bpb.,0.04 bpb.,0.001 bpb.,0.01 bpb.,(E),0.01 bpb.
arxiv/ByteLatent/301,fix,stem_answer_mismatch,The original why-question is not naturally answered by the noun-phrase correct option.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what can character language modeling flexibly model without resorting to back-off methods?",syntactic agreement patterns.,long-range contextual dependencies.,out of vocabulary words.,subword token boundaries.,morphologically rich languages.,(C),out of vocabulary words.
arxiv/ByteLatent/308,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of character-level transformers and sub-word tokenization, what do word and sub-word units implicitly define for the level of abstraction models should operate on?",a fixed vocabulary bottleneck.,an auxiliary training signal.,a latent hierarchy in text.,a significant compute overhead.,an inductive bias.,(E),an inductive bias.
arxiv/ByteLatent/314,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what kind of operations did ByT5’s byte-level encoder-decoder models not use?",cross-attention between encoder and decoder layers.,byte embeddings as model inputs.,patching operations.,deep transformer stacks.,attention operations over every byte.,(C),patching operations.
arxiv/ByteLatent/315,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what kind of models did ByT5 explore approaches for?",character-level encoder-only models,byte-level Mamba architectures,subword-level encoder decoder models,byte-level transformer language models,byte-level encoder decoder models,(E),byte-level encoder decoder models
arxiv/ByteLatent/318,fix,stem_answer_mismatch,"The stem asks what GPT-2 observed, but the correct option only names the comparator class.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", GPT-2 observed that byte-level LMs were not competitive with what on large-scale datasets like the 1 billion word benchmark?",RNN-based state-of-the-art language models,hierarchical LSTM models,word-level LMs,subword-level LMs,transformer-based character LLMs,(C),word-level LMs
arxiv/ByteLatent/322,fix,option_type_mismatch,"The stem asks how much less data was used, but most options are not amounts of data.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", how much less data did the ByT5 byte-level encoder-decoder model use compared with tokenizer-based models while still being competitive?",2x less data,4x less data,the same amount of data,4x more data,10x less data,(B),4x less data
arxiv/ByteLatent/365,fix,formatting,The stem has a visible prompt/list prefix that should not be part of the question.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion contrasting byte-group tokens from a finite vocabulary with patches, what are patches defined as?",dynamically grouped sequences without a fixed vocabulary.,byte-groups drawn from a finite vocabulary determined prior to training.,subword sequences learned by byte-pair encoding and stored in a vocabulary.,fixed-size byte windows processed directly without adaptive grouping.,entropy-thresholded byte segments predicted by a trained boundary classifier.,(A),dynamically grouped sequences without a fixed vocabulary.
arxiv/ByteLatent/370,fix,stem_answer_mismatch,"The stem asks for the term added to x_i, but the correct option gives the full augmented embedding expression.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", how is the augmented embedding $e_i$ defined for byte embeddings before normalization and input to the local encoder model?","x_i + \sum_{n = 3,...,8}E_{n}^{hash}(\text{Hash}(g_{i,n}))","x_i + \sum_{n = 3,...,8}E_{n}^{hash}(\text{RollPolyHash}(g_{i,n}))","x_i + \sum_{n = 3,...,8}E_{n}^{freq}(\text{Freq}(g_{i,n}))","x_i + E^{pos}(i) + \sum_{n = 3,...,8}E_{n}^{hash}(\text{Hash}(g_{i,n}))","x_i + \sum_{n = 1,...,8}E_{n}^{hash}(\text{Hash}(g_{i,n}))",(A),"x_i + \sum_{n = 3,...,8}E_{n}^{hash}(\text{Hash}(g_{i,n}))"
arxiv/DPO/11,fix,"ambiguous_options,option_type_mismatch","The original options mix the broad learning paradigm with specific RL algorithms, making the broad answer less clean.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what broad learning paradigm do existing methods typically use to steer language models to match human preferences?",reinforcement learning (RL).,supervised fine-tuning.,instruction tuning.,maximum likelihood training.,prompt engineering.,(A),reinforcement learning (RL).
