review_id,domain_group,document,v15_row_index,question_stem,target,correct_label,option_a,option_b,option_c,option_d,option_e,distractors,formatted_question,fact,raw_knowledge_statement,section,v14_cloze_probe,v14_formatted_question
arxiv/QLoRA/255,arxiv,QLoRA,255,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides the authors’ work, SwitchBack layers is the only work that studies backpropagation through quantized weights at a scale beyond how many parameters?",1B parameters.,(A),1B parameters.,8B parameters.,100M parameters.,175B parameters.,10B parameters.,"[""100M parameters."", ""8B parameters."", ""10B parameters."", ""175B parameters.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides the authors’ work, SwitchBack layers is the only work that studies backpropagation through quantized weights at a scale beyond how many parameters?
(A) 1B parameters.
(B) 8B parameters.
(C) 100M parameters.
(D) 175B parameters.
(E) 10B parameters.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides the authors’ work, SwitchBack layers is the only work that studies backpropagation through quantized weights at a scale beyond 1B parameters.","Besides our work, SwitchBack layers~\citep{wortsman2023stable} is the only work that studies backpropagation through quantized weights at a scale beyond 1B parameters.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides the authors’ work, SwitchBack layers is the only work that studies backpropagation through quantized weights at a scale beyond","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides the authors’ work, SwitchBack layers is the only work that studies backpropagation through quantized weights at a scale beyond
(A) 1B parameters.
(B) 8B parameters.
(C) 100M parameters.
(D) 175B parameters.
(E) 10B parameters."
arxiv/QLoRA/256,arxiv,QLoRA,256,"Q: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what do the authors show are able to reach full 16-bit finetuning performance?",LoRA adapters.,(E),SwitchBack layers,IA^3 hidden-state scalings,prompt tuning embeddings,P-Tuning v2 prompt encoders,LoRA adapters.,"[""prompt tuning embeddings"", ""IA^3 hidden-state scalings"", ""SwitchBack layers"", ""P-Tuning v2 prompt encoders""]","Q: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what do the authors show are able to reach full 16-bit finetuning performance?
(A) SwitchBack layers
(B) IA^3 hidden-state scalings
(C) prompt tuning embeddings
(D) P-Tuning v2 prompt encoders
(E) LoRA adapters.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors show that the components able to reach full 16-bit finetuning performance are LoRA adapters.","In our work, we show that LoRA adapters are able to reach full 16-bit finetuning performance.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors show that the components able to reach full 16-bit finetuning performance are","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors show that the components able to reach full 16-bit finetuning performance are
(A) SwitchBack layers
(B) IA^3 hidden-state scalings
(C) prompt tuning embeddings
(D) P-Tuning v2 prompt encoders
(E) LoRA adapters."
arxiv/QLoRA/257,arxiv,QLoRA,257,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what family of methods is described as including prompt tuning, tuning the embedding layer inputs, tuning hidden states (IA$^3$), adding full layers, tuning biases, learning a mask over weights based on Fisher information, and combinations of these approaches?",Parameter Efficient FineTuning (PEFT) methods.,(E),Low-rank Adapter (LoRA) methods.,adapter-based finetuning methods.,instruction finetuning methods.,quantization-aware finetuning methods.,Parameter Efficient FineTuning (PEFT) methods.,"[""Low-rank Adapter (LoRA) methods."", ""adapter-based finetuning methods."", ""instruction finetuning methods."", ""quantization-aware finetuning methods.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what family of methods is described as including prompt tuning, tuning the embedding layer inputs, tuning hidden states (IA$^3$), adding full layers, tuning biases, learning a mask over weights based on Fisher information, and combinations of these approaches?
(A) Low-rank Adapter (LoRA) methods.
(B) adapter-based finetuning methods.
(C) instruction finetuning methods.
(D) quantization-aware finetuning methods.
(E) Parameter Efficient FineTuning (PEFT) methods.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the family of methods described as including prompt tuning, tuning the embedding layer inputs, tuning hidden states (IA$^3$), adding full layers, tuning biases, learning a mask over weights based on Fisher information, and combinations of these approaches is Parameter Efficient FineTuning (PEFT) methods.","While we use Low-rank Adapters~\citep{hu2021lora} (LoRA), many other Parameter Efficient FineTuning (PEFT) methods have been proposed such as prompt tuning~\citep{qin2021learning,lester2021power,li2021prefix}, tuning the embedding layer inputs~\citep{an2022input}, tuning hidden states~(IA$^3$) \citep{liu2022few}, adding full layers~\citep{houlsby2019parameter}, tuning biases~\citep{zaken2021bitfit}, learning a mask over weights based on Fisher information~\citep{sung2021training}, and a combination of approaches~\citep{henderson2021compacter}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the family of methods described as including prompt tuning, tuning the embedding layer inputs, tuning hidden states (IA$^3$), adding full layers, tuning biases, learning a mask over weights based on Fisher information, and combinations of these approaches is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the family of methods described as including prompt tuning, tuning the embedding layer inputs, tuning hidden states (IA$^3$), adding full layers, tuning biases, learning a mask over weights based on Fisher information, and combinations of these approaches is
(A) Low-rank Adapter (LoRA) methods.
(B) adapter-based finetuning methods.
(C) instruction finetuning methods.
(D) quantization-aware finetuning methods.
(E) Parameter Efficient FineTuning (PEFT) methods."
arxiv/QLoRA/258,arxiv,QLoRA,258,"Q: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", lossy quantization approaches study the trade-offs for what kind of rounding?",regular rounding.,(A),regular rounding.,mixed-precision quantization.,optimized rounding decisions.,stochastic rounding.,more sophisticated grouping methods.,"[""optimized rounding decisions."", ""more sophisticated grouping methods."", ""stochastic rounding."", ""mixed-precision quantization.""]","Q: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", lossy quantization approaches study the trade-offs for what kind of rounding?
(A) regular rounding.
(B) mixed-precision quantization.
(C) optimized rounding decisions.
(D) stochastic rounding.
(E) more sophisticated grouping methods.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", lossy quantization approaches study the trade-offs of using regular rounding.","Lossy quantization approaches study the trade-offs for regular rounding~\citep{dettmers2022case,zeng2022glm,pope2022efficiently} or how to optimize rounding decisions to improve quantization precision~\citep{frantar2022gptq}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", lossy quantization approaches study the trade-offs of using","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", lossy quantization approaches study the trade-offs of using
(A) regular rounding.
(B) mixed-precision quantization.
(C) optimized rounding decisions.
(D) stochastic rounding.
(E) more sophisticated grouping methods."
arxiv/QLoRA/259,arxiv,QLoRA,259,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what type of adapters do the authors use in their work?",Low-rank Adapters.,(B),Prompt tuning.,Low-rank Adapters.,Bias-only finetuning.,IA^3 hidden-state tuning.,Prefix tuning.,"[""Prompt tuning."", ""IA^3 hidden-state tuning."", ""Bias-only finetuning."", ""Prefix tuning.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what type of adapters do the authors use in their work?
(A) Prompt tuning.
(B) Low-rank Adapters.
(C) Bias-only finetuning.
(D) IA^3 hidden-state tuning.
(E) Prefix tuning.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the discussion of parameter-efficient finetuning methods, the authors use Low-rank Adapters.","While we use Low-rank Adapters~\citep{hu2021lora} (LoRA), many other Parameter Efficient FineTuning (PEFT) methods have been proposed such as prompt tuning~\citep{qin2021learning,lester2021power,li2021prefix}, tuning the embedding layer inputs~\citep{an2022input}, tuning hidden states~(IA$^3$) \citep{liu2022few}, adding full layers~\citep{houlsby2019parameter}, tuning biases~\citep{zaken2021bitfit}, learning a mask over weights based on Fisher information~\citep{sung2021training}, and a combination of approaches~\citep{henderson2021compacter}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the discussion of parameter-efficient finetuning methods, the authors use","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the discussion of parameter-efficient finetuning methods, the authors use
(A) Prompt tuning.
(B) Low-rank Adapters.
(C) Bias-only finetuning.
(D) IA^3 hidden-state tuning.
(E) Prefix tuning."
arxiv/QLoRA/260,arxiv,QLoRA,260,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides approaches that preserve 16-bit LLM quality by managing outlier features such as SmoothQuant and LLM.int8(), what do other approaches use?",more sophisticated grouping methods.,(D),optimized rounding decisions.,mixed-precision quantization schemes.,regular rounding methods.,more sophisticated grouping methods.,post-training calibration techniques.,"[""optimized rounding decisions."", ""regular rounding methods."", ""mixed-precision quantization schemes."", ""post-training calibration techniques.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides approaches that preserve 16-bit LLM quality by managing outlier features such as SmoothQuant and LLM.int8(), what do other approaches use?
(A) optimized rounding decisions.
(B) mixed-precision quantization schemes.
(C) regular rounding methods.
(D) more sophisticated grouping methods.
(E) post-training calibration techniques.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides approaches that preserve 16-bit LLM quality by managing outlier features such as SmoothQuant and LLM.int8(), other approaches use more sophisticated grouping methods.","Major approaches for preserving 16-bit LLM quality focus on managing outlier features (e.g., SmoothQuant~\citep{xiao2022smoothquant} and LLM.int8()~\citep{dettmers2022llm}) while others use more sophisticated grouping methods \citep{park2022nuqmm, yao2022zeroquant}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides approaches that preserve 16-bit LLM quality by managing outlier features such as SmoothQuant and LLM.int8(), other approaches use","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", besides approaches that preserve 16-bit LLM quality by managing outlier features such as SmoothQuant and LLM.int8(), other approaches use
(A) optimized rounding decisions.
(B) mixed-precision quantization schemes.
(C) regular rounding methods.
(D) more sophisticated grouping methods.
(E) post-training calibration techniques."
arxiv/QLoRA/261,arxiv,QLoRA,261,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what level of finetuning performance are LoRA adapters able to reach?",full 16-bit finetuning performance.,(C),zero-shot generalization on unseen tasks,the performance of prompt tuning methods,full 16-bit finetuning performance.,inference-time 16-bit model quality,the accuracy gains of optimized rounding,"[""inference-time 16-bit model quality"", ""the performance of prompt tuning methods"", ""the accuracy gains of optimized rounding"", ""zero-shot generalization on unseen tasks""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what level of finetuning performance are LoRA adapters able to reach?
(A) zero-shot generalization on unseen tasks
(B) the performance of prompt tuning methods
(C) full 16-bit finetuning performance.
(D) inference-time 16-bit model quality
(E) the accuracy gains of optimized rounding","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", LoRA adapters are able to reach full 16-bit finetuning performance.","In our work, we show that LoRA adapters are able to reach full 16-bit finetuning performance.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", LoRA adapters are able to reach","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", LoRA adapters are able to reach
(A) zero-shot generalization on unseen tasks
(B) the performance of prompt tuning methods
(C) full 16-bit finetuning performance.
(D) inference-time 16-bit model quality
(E) the accuracy gains of optimized rounding"
arxiv/QLoRA/262,arxiv,QLoRA,262,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", how are many instruction-following models structured?",dialogue-based chatbots.,(B),reinforcement-learning agents with human feedback.,dialogue-based chatbots.,parameter-efficient finetuning architectures with LoRA adapters.,single-turn prompt-completion systems.,encoder-decoder sequence-to-sequence models.,"[""single-turn prompt-completion systems."", ""reinforcement-learning agents with human feedback."", ""encoder-decoder sequence-to-sequence models."", ""parameter-efficient finetuning architectures with LoRA adapters.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", how are many instruction-following models structured?
(A) reinforcement-learning agents with human feedback.
(B) dialogue-based chatbots.
(C) parameter-efficient finetuning architectures with LoRA adapters.
(D) single-turn prompt-completion systems.
(E) encoder-decoder sequence-to-sequence models.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", many instruction-following models are structured as dialogue-based chatbots.","Many instruction following models are structured as dialogue-based chatbots, often using Reinforcement Learning from Human Feedback (RLHF)~\citep{christiano2017deep} or generating data from an existing model to train with AI model feedback (RLAIF)~\citep{bai2022constitutional}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", many instruction-following models are structured as","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", many instruction-following models are structured as
(A) reinforcement-learning agents with human feedback.
(B) dialogue-based chatbots.
(C) parameter-efficient finetuning architectures with LoRA adapters.
(D) single-turn prompt-completion systems.
(E) encoder-decoder sequence-to-sequence models."
arxiv/QLoRA/263,arxiv,QLoRA,263,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph about dialogue-based chatbots and their associated approaches and datasets, which approach or dataset is listed between Anthropic-HH and LaMDA?",Open Assistant,(A),Open Assistant,Sparrow,InstructGPT,MetaTuning,Anthropic-HH,"[""Sparrow"", ""InstructGPT"", ""MetaTuning"", ""Anthropic-HH""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph about dialogue-based chatbots and their associated approaches and datasets, which approach or dataset is listed between Anthropic-HH and LaMDA?
(A) Open Assistant
(B) Sparrow
(C) InstructGPT
(D) MetaTuning
(E) Anthropic-HH","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph about dialogue-based chatbots and their associated approaches and datasets, the approach or dataset listed between Anthropic-HH and LaMDA is Open Assistant","Approaches and datasets include Anthropic-HH~\citep{askell2021general,bai2022training}, Open Assistant~\citep{kopf2023openassistant}, LaMDA~\citep{thoppilan2022lamda}, and Sparrow~\citep{glaese2022improving}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph about dialogue-based chatbots and their associated approaches and datasets, the approach or dataset listed between Anthropic-HH and LaMDA is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the paragraph about dialogue-based chatbots and their associated approaches and datasets, the approach or dataset listed between Anthropic-HH and LaMDA is
(A) Open Assistant
(B) Sparrow
(C) InstructGPT
(D) MetaTuning
(E) Anthropic-HH"
arxiv/QLoRA/265,arxiv,QLoRA,265,"Q: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", which Parameter Efficient FineTuning (PEFT) method is described as tuning hidden states?",IA$^3$.,(B),prefix tuning.,IA$^3$.,P-Tuning v2.,BitFit.,LoRA.,"[""LoRA."", ""BitFit."", ""prefix tuning."", ""P-Tuning v2.""]","Q: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", which Parameter Efficient FineTuning (PEFT) method is described as tuning hidden states?
(A) prefix tuning.
(B) IA$^3$.
(C) P-Tuning v2.
(D) BitFit.
(E) LoRA.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the Parameter Efficient FineTuning (PEFT) method described as tuning hidden states is IA$^3$.","While we use Low-rank Adapters~\citep{hu2021lora} (LoRA), many other Parameter Efficient FineTuning (PEFT) methods have been proposed such as prompt tuning~\citep{qin2021learning,lester2021power,li2021prefix}, tuning the embedding layer inputs~\citep{an2022input}, tuning hidden states~(IA$^3$) \citep{liu2022few}, adding full layers~\citep{houlsby2019parameter}, tuning biases~\citep{zaken2021bitfit}, learning a mask over weights based on Fisher information~\citep{sung2021training}, and a combination of approaches~\citep{henderson2021compacter}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the Parameter Efficient FineTuning (PEFT) method described as tuning hidden states is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the Parameter Efficient FineTuning (PEFT) method described as tuning hidden states is
(A) prefix tuning.
(B) IA$^3$.
(C) P-Tuning v2.
(D) BitFit.
(E) LoRA."
